Participant_ID,D,I,S,C
ID2,6,12,22,60
ID3,20,12,6,62
ID4,0,11,5,84
ID5,4,9,30,56
ID6,3,13,0,85
ID7,4,8,30,57
ID8,11,5,59,25
ID9,12,6,60,23
ID10,5,9,24,62
ID11,0,8,7,85
ID12,5,10,24,61
ID13,5,9,30,57
ID14,5,10,30,55
ID15,10,5,57,28
ID17,0,13,3,85
ID18,5,10,22,62
ID19,6,11,22,61
ID20,5,11,23,61
ID21,23,12,6,59
ID24,20,11,5,64
ID25,0,16,0,84
ID26,82,5,13,0
ID28,5,10,20,65
ID29,10,0,84,5
ID30,12,6,58,25
ID31,5,9,21,66
ID32,5,9,21,65
ID34,5,11,21,62
ID35,5,10,23,62
ID36,24,10,5,60
ID37,4,9,22,65
ID38,0,12,2,87
ID39,5,9,23,63
ID40,5,10,25,59
ID41,5,10,22,63
ID42,5,9,21,65
ID43,22,8,4,65
ID44,13,7,58,22
ID45,0,10,7,83
ID46,22,12,6,60
ID49,0,10,3,87
ID50,0,12,3,85
ID51,4,8,24,64
ID52,10,5,60,24
ID53,11,0,82,6
ID54,5,10,22,62
ID55,2,12,0,86
ID56,0,11,4,84
ID57,0,13,0,87
ID58,9,4,56,30
ID59,7,9,0,85
ID60,0,11,4,85
ID61,10,5,65,19
ID62,11,5,60,24
ID63,0,12,0,88
ID64,8,4,63,25
ID65,10,5,61,23
ID66,5,10,20,64
ID67,5,9,26,60
ID68,5,11,0,84
ID69,11,6,64,19
ID70,5,11,21,62
ID71,4,8,21,66
ID72,5,11,23,61
ID73,6,11,22,61
ID74,0,11,5,84
ID75,5,9,27,59
ID76,9,5,58,28
ID77,5,9,28,58
ID78,5,9,27,59
ID79,5,11,0,84
ID80,6,9,0,85
ID81,4,9,28,59
ID82,5,11,21,62
ID83,5,10,21,65
ID84,7,4,58,31
ID85,0,11,3,86
ID86,5,9,29,57
ID87,5,10,22,62
ID88,5,10,20,65
ID89,8,4,62,27
ID91,26,6,3,65
ID92,1,12,0,87
ID93,23,11,5,61
ID94,5,10,23,62
ID95,10,5,61,24
ID96,12,26,56,6
ID97,24,11,5,60
ID98,4,7,28,61
ID99,5,10,25,59
ID101,6,12,24,57
ID102,5,11,21,63
ID103,6,60,24,11
ID104,10,5,61,23
